cartodb_id,the_geom,field_1,id,id2,geography,totalpop,totalpop_error,totaldispop,totaldispop2,perdispop,ambdispop,ambdispop_error,perambdispop,perambdispop2,awater,aland,lsad,name,tractce,countyfp,statefp
1420,0106000020E6100000010000000103000000010000000B00000024766D6FB77A52C0BA5CC477626A4440B9A29410AC7A52C0E2DEFC86896A444001B4AD669D7A52C08D90813CBB6A44408CB454DE8E7A52C0442BF702B36A444076BD3445807A52C0791B9B1DA96A444003E5B67D8F7A52C05D2A36E6756A4440B67EFACF9A7A52C04613EF004F6A44408CEE2076A67A52C02D73BA2C266A44401F0725CCB47A52C03EFB9122326A44405A087250C27A52C01A42959A3D6A444024766D6FB77A52C0BA5CC477626A4440,110,1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",2921,356,385,135,13.2,163,85,5.8,3,0,77226,CT,181.01,18101,5,36
1086,0106000020E6100000010000000103000000010000000C000000E041B3EBDE7A52C04E78094E7D6A4440D5C4025FD17A52C0F24F70B1A26A44406200A8E2C67A52C0220ED940BA6A4440F255F2B1BB7A52C0AB174339D16A444019DF1797AA7A52C0F2DA6CACC46A444001B4AD669D7A52C08D90813CBB6A4440B9A29410AC7A52C0E2DEFC86896A444024766D6FB77A52C0BA5CC477626A44405A087250C27A52C01A42959A3D6A4440BDB67EFACF7A52C0B0DCD26A486A4440930F41D5E87A52C0BD60376C5B6A4440E041B3EBDE7A52C04E78094E7D6A4440,111,1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",5378,552,527,141,9.8,340,107,6.9,2.3,0,96381,CT,181.02,18102,5,36
17,0106000020E6100000010000000103000000010000000A0000005F5628D2FD7A52C098BB96900F6A444082C13577F47A52C045EC1340316A4440930F41D5E87A52C0BD60376C5B6A4440BDB67EFACF7A52C0B0DCD26A486A444068723106D67A52C07EB6D5AC336A4440C9811E6ADB7A52C0EE535568206A4440C42FBC92E47A52C0A5E8482EFF69444046A98427F47A52C069BDDF68C76944401C0247020D7B52C08A48145AD66944405F5628D2FD7A52C098BB96900F6A4440,112,1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",4202,363,810,261,19.3,646,251,16.1,5.7,0,67872,CT,183.01,18301,5,36
352,0106000020E6100000010000000103000000010000000D00000046A98427F47A52C069BDDF68C7694440C42FBC92E47A52C0A5E8482EFF694440C9811E6ADB7A52C0EE535568206A444068723106D67A52C07EB6D5AC336A4440BDB67EFACF7A52C0B0DCD26A486A44405A087250C27A52C01A42959A3D6A44401F0725CCB47A52C03EFB9122326A44408CEE2076A67A52C02D73BA2C266A444064E08096AE7A52C0DDAE97A6086A44400B0055DCB87A52C0D8CEF753E3694440DFED4108C87A52C0C436A968AC6944407778CF81E57A52C0013FAA61BF69444046A98427F47A52C069BDDF68C7694440,113,1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",4078,424,318,171,7.8,189,103,5,2.9,0,112287,CT,183.02,18302,5,36
2377,0106000020E6100000010000000103000000010000000E000000953B33C1707552C039C61517476B44401E12BEF7377552C000F566D47C6B4440DA15FA60197552C093DC6113996B4440B9BBCE86FC7452C09A3BFA5FAE6B4440ECEF6C8FDE7452C092E2E313B26B44404D603AADDB7452C07C5704FF5B6B4440BB00FBE8D47452C0E783656CE86A44408744A165DD7452C0AE963B33C16A44400A7A6F0C017552C0D1156C239E6A4440805CE2C8037552C0D823D40CA96A4440E4F04927127552C006978E39CF6A4440129B8F6B437552C03AAA9A20EA6A4440584DD7135D7552C0B0B6291E176B4440953B33C1707552C039C61517476B4440,114,1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",3676,398,552,158,15,265,97,7.7,2.9,0,447411,CT,184,18400,5,36
794,0106000020E61000000100000001030000000100000013000000667DCA31597A52C01CFCC401F4694440D05790662C7A52C0F82477D8446A444020205F42057A52C005CDAE7B2B6A4440E7A04B38F47952C0CA7D7214206A44404942226DE37952C0B71E85EB516A4440B4A7E49CD87952C0487B832F4C6A4440E53FA4DFBE7952C09846938B316A4440870D164ED27952C00F548D5E0D6A4440251B0FB6D87952C0265FD042026A4440DE10AAD4EC7952C028081EDFDE6944401B40BFEFDF7952C04334BA83D869444093DBF63DEA7952C02D682101A369444033BC5983F77952C0184B581B63694440BC8E3864037A52C0F9D005F52D69444040464085237A52C03F321D3A3D694440400FB56D187A52C0227A19C5726944402C25CB49287A52C03D5B07077B69444021A12DE7527A52C0B291EBA694694440667DCA31597A52C01CFCC401F4694440,115,1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",6880,687,1287,272,18.7,651,210,10.7,3.4,0,412151,CT,185,18500,5,36
2378,0106000020E6100000010000000103000000010000000E000000599D9CA1B87B52C0E79AC937DB6A4440E1AAB2EF8A7B52C09AAC510FD16A44409C6340F67A7B52C0E4797077D66A444057C85C19547B52C0094AD1CABD6A4440474739984D7B52C09B6C0377A06A44405339ED29397B52C07E6ABC74936A444083B01A4B587B52C0E21934F44F6A4440AD7D01BD707B52C0872650C4226A44403EE08101847B52C0E42494BE106A4440A25A4414937B52C041A852B3076A44408D39CFD8977B52C072603942066A4440428F183DB77B52C03AFE0B04016A4440084AD1CABD7B52C074C6F7C5A56A4440599D9CA1B87B52C0E79AC937DB6A4440,116,1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",8216,766,1546,278,18.8,860,226,11.4,3.1,0,355564,CT,189,18900,5,36
4697,0106000020E61000000100000001030000000100000013000000303ECC5EB67B52C01B7A8B87F76A444086DD770C8F7B52C0A711FA997A6B444022809BC58B7B52C0FC4124438E6B4440B48828266F7B52C0C38EC6A17E6B444018C91EA1667B52C0A6EA1ED95C6B4440A064726A677B52C037D384ED276B4440C65EEFFE787B52C0DE30D120056B44406014048F6F7B52C0E7F17B9BFE6A4440A465A4DE537B52C0AFA6B228EC6A44407BE9EDCF457B52C0CC3AE3FBE26A444089C8B08A377B52C088C6DADFD96A444096A77345297B52C08284285FD06A44405339ED29397B52C07E6ABC74936A4440474739984D7B52C09B6C0377A06A444057C85C19547B52C0094AD1CABD6A44409C6340F67A7B52C0E4797077D66A4440E1AAB2EF8A7B52C09AAC510FD16A4440599D9CA1B87B52C0E79AC937DB6A4440303ECC5EB67B52C01B7A8B87F76A4440,117,1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",5737,484,1295,356,22.6,501,195,9.7,3.5,0,241295,CT,193,19300,5,36
2379,0106000020E61000000100000001030000000100000019000000C532FD12F17552C0E3BCFF8F136A4440A47A32FFE87552C04C0B5EF4156A4440A0BDFA78E87552C079F31B261A6A44403D9468C9E37552C07D880D164E6A4440E1C62DE6E77552C03A9F01F5666A44401E9F909DB77552C098B9C0E5B16A4440F4F1D077B77552C08A852172FA6A4440CE656A12BC7552C0F5065F984C6B4440245CC823B87552C082F6EAE3A16B44407F09DCBA9B7552C0620795B88E6B44401DFAEE56967552C060821ABE856B4440953B33C1707552C039C61517476B4440584DD7135D7552C0B0B6291E176B4440129B8F6B437552C03AAA9A20EA6A4440E4F04927127552C006978E39CF6A4440805CE2C8037552C0D823D40CA96A44400A7A6F0C017552C0D1156C239E6A4440C7CD70033E7552C0FECA4A93526A4440DDAD2CD1597552C0D3AC33BE2F6A44409B4CDC2A887552C0BF95ECD8086A44403383F8C08E7552C0E7F4BC1B0B6A44409E3C2CD49A7552C05BA626C11B6A4440AC855968E77552C00C846401136A4440482BBEA1F07552C0B5A0F7C6106A4440C532FD12F17552C0E3BCFF8F136A4440,118,1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",2231,311,330,128,14.8,203,96,9.5,4,393,840070,CT,194,19400,5,36
353,0106000020E6100000010000000103000000010000000D000000F7FD9B17277B52C04B3448C1536A44402CB4739A057B52C040446ADAC56A4440AB545051F57A52C0ABA92C0ABB6A444082D89942E77A52C0A4677A89B16A4440D5C4025FD17A52C0F24F70B1A26A4440E041B3EBDE7A52C04E78094E7D6A4440930F41D5E87A52C0BD60376C5B6A444082C13577F47A52C045EC1340316A44405F5628D2FD7A52C098BB96900F6A44401C0247020D7B52C08A48145AD6694440E13D0796237B52C0F6E7A221E3694440EFDE5163427B52C0409E5DBEF5694440F7FD9B17277B52C04B3448C1536A4440,119,1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",7622,649,1244,295,16.3,731,172,10.5,2.3,0,219844,CT,195,19500,5,36
